SourceFile,ExtractTimestamp,PlanetFormID,PlanetEditorID,PlanetName,BodyType,StarSystemID,SystemName,ParentPlanetID,PlanetID,PlanetNotLandable,OceanWorld,SolarArrayPower,WindTurbinePower,PlanetaryHabitationRank
ShatteredSpace.esm,2026-09-04 12:50:50,0102BA29,_SFBGS001_LC01OrbitPlanetData,The Oracle,Orbital,119226,Kavnyk,21,30,0,0,,,0
ShatteredSpace.esm,2026-09-04 12:50:50,010026C5,KavnykII-ePlanetData,Kavnyk II-e,Moon,119226,Kavnyk,20,29,0,0,4,6,0
ShatteredSpace.esm,2026-09-04 12:50:50,010026C4,KavnykII-dPlanetData,Kavnyk II-d,Moon,119226,Kavnyk,20,28,0,0,4,3,0
ShatteredSpace.esm,2026-09-04 12:50:50,010026C3,KavnykII-cPlanetData,Kavnyk II-c,Moon,119226,Kavnyk,20,27,0,0,4,6,0
ShatteredSpace.esm,2026-09-04 12:50:50,010026C2,KavnykII-bPlanetData,Kavnyk II-b,Moon,119226,Kavnyk,20,26,0,0,4,0,0
ShatteredSpace.esm,2026-09-04 12:50:50,010026C1,KavnykII-aPlanetData,Kavnyk II-a,Moon,119226,Kavnyk,20,25,0,0,4,0,0
ShatteredSpace.esm,2026-09-04 12:50:50,010026C0,KavnykI-cPlanetData,Kavnyk I-c,Moon,119226,Kavnyk,19,24,0,0,6,0,0
ShatteredSpace.esm,2026-09-04 12:50:50,010026BF,KavnykI-aPlanetData,Kavnyk I-a,Moon,119226,Kavnyk,19,23,0,0,2,0,1
ShatteredSpace.esm,2026-09-04 12:50:50,010026BD,KavnykIIPlanetData,Kavnyk II,Planet,119226,Kavnyk,0,20,1,0,,,
ShatteredSpace.esm,2026-09-04 12:50:50,010026BC,KavnykIPlanetData,Kavnyk I,Planet,119226,Kavnyk,0,19,1,0,,,
ShatteredSpace.esm,2026-09-04 12:50:50,01000801,VaruunkaiPlanetData,Va'ruun'kai,Moon,119226,Kavnyk,19,21,0,0,6,10,0
Starfield.esm,2026-09-04 12:50:50,003E5E41,_scDebugStartOrbitalPlanetData,_scDebugStartOrbital,Orbital,77022,Kryx,1,17,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,003E2B43,_SValoPPolvoMMiathaOrbitPlanetData,_SValoPPolvoMMiathaOrbit,Orbital,119198,Valo,8,15,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00331891,_PolvoStationOrbitalPlanetData,PolvoStationOrbital,Orbital,119198,Valo,1,13,0,0,,,0
